"","year","country","emissions_CDIAC","emissions_UNFCCC","consum_emissions_UNFCCC","transfers_UNFCCC"
"284",1965,"LITHUANIA",3.37819960776428,3.37819960776428,NA,NA
"285",1965,"LUXEMBOURG",3.328,3.328,NA,NA
"286",1965,"MALTA",0.129,0.129,NA,NA
"287",1965,"MEXICO",20.52,20.52,NA,NA
"288",1965,"NETHERLANDS",27.406,27.406,NA,NA
"289",1965,"POLAND",67.418,67.418,NA,NA
"290",1965,"PORTUGAL",3.163,3.163,NA,NA
"291",1965,"ROMANIA",21.468,21.468,NA,NA
"292",1965,"RUSSIAN.FEDERATION",317.530068860722,317.530068860722,NA,NA
"293",1965,"SAUDI.ARABIA",1.151,1.151,NA,NA
"294",1965,"SLOVAKIA",10.638321715065,10.638321715065,NA,NA
"295",1965,"SLOVENIA",1.85658735815821,1.85658735815821,NA,NA
"296",1965,"SOUTH.AFRICA",34.977,34.977,NA,NA
"297",1965,"SPAIN",19.394,19.394,NA,NA
"298",1965,"SWEDEN",17.079,17.079,NA,NA
"299",1965,"TURKEY",7.469,7.469,NA,NA
"300",1965,"UNITED.KINGDOM",169.79,169.79,NA,NA
"301",1965,"UNITED.STATES.OF.AMERICA",924.713,924.713,NA,NA
"302",1966,"ARGENTINA",17.218,17.218,NA,NA
"303",1966,"AUSTRALIA",32.815,32.815,NA,NA
"304",1966,"AUSTRIA",10.706,10.706,NA,NA
"305",1966,"BELGIUM",28.69,28.69,NA,NA
"306",1966,"BRAZIL",17.536,17.536,NA,NA
"307",1966,"BULGARIA",13.299,13.299,NA,NA
"308",1966,"CANADA",70.717,70.717,NA,NA
"309",1966,"CHINA.(MAINLAND)",142.566,142.566,NA,NA
"310",1966,"CROATIA",2.4727818606366,2.4727818606366,NA,NA
"311",1966,"CYPRUS",0.339,0.339,NA,NA
"312",1966,"CZECH.REPUBLIC",33.1996043237606,33.1996043237606,NA,NA
"313",1966,"DEMOCRATIC.PEOPLE.S.REPUBLIC.OF.KOREA",12.994,12.994,NA,NA
"314",1966,"DENMARK",13.67,13.67,NA,NA
"315",1966,"ESTONIA",3.70400628571799,3.70400628571799,NA,NA
"316",1966,"FINLAND",8.05,8.05,NA,NA
"317",1966,"FRANCE.(INCLUDING.MONACO)",94.692,94.692,NA,NA
"318",1966,"GERMANY",259.713,259.713,NA,NA
"319",1966,"GREECE",5.086,5.086,NA,NA
"320",1966,"HUNGARY",16.835,16.835,NA,NA
"321",1966,"INDIA",46.841,46.841,NA,NA
"322",1966,"INDONESIA",6.38,6.38,NA,NA
"323",1966,"IRELAND",4.121,4.121,NA,NA
"324",1966,"ITALY.(INCLUDING.SAN.MARINO)",58.426,58.426,NA,NA
"325",1966,"JAPAN",114.465,114.465,NA,NA
"326",1966,"LATVIA",2.18070342957596,2.18070342957596,NA,NA
"327",1966,"LITHUANIA",3.56756465726944,3.56756465726944,NA,NA
"328",1966,"LUXEMBOURG",3.169,3.169,NA,NA
"329",1966,"MALTA",0.113,0.113,NA,NA
"330",1966,"MEXICO",22.07,22.07,NA,NA
"331",1966,"NETHERLANDS",28.267,28.267,NA,NA
"332",1966,"POLAND",68.906,68.906,NA,NA
"333",1966,"PORTUGAL",3.232,3.232,NA,NA
"334",1966,"ROMANIA",22.957,22.957,NA,NA
"335",1966,"RUSSIAN.FEDERATION",335.32922349652,335.32922349652,NA,NA
"336",1966,"SAUDI.ARABIA",1.749,1.749,NA,NA
"337",1966,"SLOVAKIA",10.5783956762394,10.5783956762394,NA,NA
"338",1966,"SLOVENIA",1.83971942976527,1.83971942976527,NA,NA
"339",1966,"SOUTH.AFRICA",35.003,35.003,NA,NA
"340",1966,"SPAIN",21.197,21.197,NA,NA
"341",1966,"SWEDEN",19.796,19.796,NA,NA
"342",1966,"TURKEY",8.603,8.603,NA,NA
"343",1966,"UNITED.KINGDOM",168.684,168.684,NA,NA
"344",1966,"UNITED.STATES.OF.AMERICA",971.333,971.333,NA,NA
"345",1967,"ARGENTINA",17.874,17.874,NA,NA
"346",1967,"AUSTRALIA",35.251,35.251,NA,NA
"347",1967,"AUSTRIA",10.899,10.899,NA,NA
"348",1967,"BELGIUM",29.308,29.308,NA,NA
"349",1967,"BRAZIL",18.051,18.051,NA,NA
"350",1967,"BULGARIA",15.044,15.044,NA,NA
"351",1967,"CANADA",76.874,76.874,NA,NA
"352",1967,"CHINA.(MAINLAND)",118.144,118.144,NA,NA
"353",1967,"CROATIA",2.49770267502356,2.49770267502356,NA,NA
"354",1967,"CYPRUS",0.372,0.372,NA,NA
"355",1967,"CZECH.REPUBLIC",33.1305933138136,33.1305933138136,NA,NA
"356",1967,"DEMOCRATIC.PEOPLE.S.REPUBLIC.OF.KOREA",14.302,14.302,NA,NA
"357",1967,"DENMARK",13.383,13.383,NA,NA
"358",1967,"ESTONIA",3.87308763354718,3.87308763354718,NA,NA
"359",1967,"FINLAND",7.804,7.804,NA,NA
"360",1967,"FRANCE.(INCLUDING.MONACO)",101.448,101.448,NA,NA
"361",1967,"GERMANY",255.564,255.564,NA,NA
"362",1967,"GREECE",5.327,5.327,NA,NA
"363",1967,"HUNGARY",16.043,16.043,NA,NA
"364",1967,"INDIA",46.97,46.97,NA,NA
"365",1967,"INDONESIA",6.698,6.698,NA,NA
"366",1967,"IRELAND",4.476,4.476,NA,NA
"367",1967,"ITALY.(INCLUDING.SAN.MARINO)",63.929,63.929,NA,NA
"368",1967,"JAPAN",133.592,133.592,NA,NA
"369",1967,"LATVIA",2.28024869128627,2.28024869128627,NA,NA
"370",1967,"LITHUANIA",3.73041768563626,3.73041768563626,NA,NA
"371",1967,"LUXEMBOURG",3.098,3.098,NA,NA
"372",1967,"MALTA",0.142,0.142,NA,NA
"373",1967,"MEXICO",24.571,24.571,NA,NA
"374",1967,"NETHERLANDS",29.12,29.12,NA,NA
"375",1967,"POLAND",70.707,70.707,NA,NA
"376",1967,"PORTUGAL",3.384,3.384,NA,NA
"377",1967,"ROMANIA",25.124,25.124,NA,NA
"378",1967,"RUSSIAN.FEDERATION",350.63641055339,350.63641055339,NA,NA
"379",1967,"SAUDI.ARABIA",6.956,6.956,NA,NA
"380",1967,"SLOVAKIA",10.5564066861864,10.5564066861864,NA,NA
"381",1967,"SLOVENIA",1.85826021056081,1.85826021056081,NA,NA
"382",1967,"SOUTH.AFRICA",36.511,36.511,NA,NA
"383",1967,"SPAIN",23.594,23.594,NA,NA
"384",1967,"SWEDEN",18.817,18.817,NA,NA
"385",1967,"TURKEY",9.142,9.142,NA,NA
"386",1967,"UNITED.KINGDOM",161.581,161.581,NA,NA
"387",1967,"UNITED.STATES.OF.AMERICA",1007.829,1007.829,NA,NA
"388",1968,"ARGENTINA",18.839,18.839,NA,NA
"389",1968,"AUSTRALIA",36.712,36.712,NA,NA
"390",1968,"AUSTRIA",11.549,11.549,NA,NA
"391",1968,"BELGIUM",32.331,32.331,NA,NA
"392",1968,"BRAZIL",21.113,21.113,NA,NA
"393",1968,"BULGARIA",16.233,16.233,NA,NA
"394",1968,"CANADA",82.776,82.776,NA,NA
"395",1968,"CHINA.(MAINLAND)",127.878,127.878,NA,NA
"396",1968,"CROATIA",2.6713988775552,2.6713988775552,NA,NA
"397",1968,"CYPRUS",0.443,0.443,NA,NA
"398",1968,"CZECH.REPUBLIC",34.6624860620889,34.6624860620889,NA,NA
"399",1968,"DEMOCRATIC.PEOPLE.S.REPUBLIC.OF.KOREA",16.179,16.179,NA,NA
"400",1968,"DENMARK",14.542,14.542,NA,NA
"401",1968,"ESTONIA",3.98190336924863,3.98190336924863,NA,NA
"402",1968,"FINLAND",9.085,9.085,NA,NA
"403",1968,"FRANCE.(INCLUDING.MONACO)",104.89,104.89,NA,NA
"404",1968,"GERMANY",268.82,268.82,NA,NA
"405",1968,"GREECE",6.087,6.087,NA,NA
"406",1968,"HUNGARY",16.677,16.677,NA,NA
"407",1968,"INDIA",51.087,51.087,NA,NA
"408",1968,"INDONESIA",7.523,7.523,NA,NA
"409",1968,"IRELAND",4.86,4.86,NA,NA
"410",1968,"ITALY.(INCLUDING.SAN.MARINO)",68.038,68.038,NA,NA
"411",1968,"JAPAN",153.413,153.413,NA,NA
"412",1968,"LATVIA",2.34431306637952,2.34431306637952,NA,NA
"413",1968,"LITHUANIA",3.83522505984081,3.83522505984081,NA,NA
"414",1968,"LUXEMBOURG",3.346,3.346,NA,NA
"415",1968,"MALTA",0.174,0.174,NA,NA
"416",1968,"MEXICO",25.631,25.631,NA,NA
"417",1968,"NETHERLANDS",30.966,30.966,NA,NA
"418",1968,"POLAND",75.286,75.286,NA,NA
"419",1968,"PORTUGAL",3.548,3.548,NA,NA
"420",1968,"ROMANIA",27.322,27.322,NA,NA
"421",1968,"RUSSIAN.FEDERATION",360.48766169669,360.48766169669,NA,NA
"422",1968,"SAUDI.ARABIA",7.937,7.937,NA,NA
